label,seed,head_text,f_words_pre,coverage_pre,has_verb_pre,pass_pre,f_words_post,pass_post,has_true,leakage,template_id
HEAD_029_v521,2686543910,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE DIAL TO THE LINE,8,0.9439386709072639,True,True,6,False,False,False,T009
HEAD_030_v521,939668446,MARK THE POINT AT THE STATION AND THEN READ THE ANGLE OF THE LINE,8,0.9202657564296435,True,True,5,False,False,False,T015
HEAD_031_v521,1731956221,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE DIAL TO THE LINE,8,0.9203406840561051,True,True,6,False,False,False,T009
HEAD_032_v521,793720667,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE DIAL TO THE LINE,8,0.9075513393465823,True,True,6,False,False,False,T009
HEAD_033_v521,2121826884,MARK THE POINT AT THE STATION AND THEN READ THE ANGLE OF THE DIAL,8,0.9071569166141165,True,True,5,False,False,False,T015
HEAD_034_v521,3251239854,NOTE THE DIAL OF THE MERIDIAN AND THEN SET THE DIAL TO THE LINE,8,0.9247166163124341,True,True,6,False,False,False,T009
HEAD_036_v521,2709620869,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE DIAL TO THE COURSE,8,0.94796339206143,True,True,6,False,False,False,T009
HEAD_038_v521,2670681129,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE FIELD AT THE DIAL,8,0.866571516672741,True,True,6,False,False,False,T013
HEAD_039_v521,350024962,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE ANGLE AT THE DIAL,8,0.924197455806992,True,True,6,False,False,False,T013
HEAD_041_v521,461735550,MARK THE POINT AT THE STATION AND THEN READ THE ANGLE OF THE MARK,8,0.8607953021983985,True,True,5,False,False,False,T015
HEAD_042_v521,4285471408,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE MARK AT THE MARK,8,0.8642731171578188,True,True,6,False,False,False,T013
HEAD_043_v521,667619511,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE DIAL TO THE LINE,8,0.8656497735469998,True,True,6,False,False,False,T009
HEAD_044_v521,2500069208,NOTE THE LINE OF THE STATION AND THEN SET THE DIAL TO THE DECLINATION,8,0.8894753602442189,True,True,6,False,False,False,T009
HEAD_045_v521,231037062,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE ANGLE AT THE DIAL,8,0.8782336204701678,True,True,6,False,False,False,T013
HEAD_046_v521,201900477,MARK THE POINT AT THE STATION AND THEN READ THE MARK OF THE POINT,8,0.8839924426274679,True,True,5,False,False,False,T015
HEAD_047_v521,4083740749,MARK THE POINT AT THE STATION AND THEN READ THE ANGLE OF THE LINE,8,0.9333325104964826,True,True,5,False,False,False,T015
HEAD_048_v521,737788373,MARK THE POINT AT THE STATION AND THEN READ THE COURSE OF THE LINE,8,0.8923798556793368,True,True,5,False,False,False,T015
HEAD_049_v521,2192647707,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE DIAL TO THE LINE,8,0.8659627986257822,True,True,6,False,False,False,T009
HEAD_050_v521,3752868285,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE ANGLE AT THE DIAL,8,0.9156590831765941,True,True,6,False,False,False,T013
