mechanism,timestamp,method,unknowns_before,unknowns_after,reduction,anchors_preserved,new_positions
BerlinClock@2024-01-01T05:00:00+00:00/base5_vector,2024-01-01T05:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T05:00:00+00:00/pattern_signature,2024-01-01T05:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T05:00:00+00:00/row3_triplet_marks,2024-01-01T05:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T06:00:00+00:00/on_off_count_per_row,2024-01-01T06:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T06:00:00+00:00/base5_vector,2024-01-01T06:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T06:00:00+00:00/pattern_signature,2024-01-01T06:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T06:00:00+00:00/row3_triplet_marks,2024-01-01T06:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T07:00:00+00:00/on_off_count_per_row,2024-01-01T07:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T07:00:00+00:00/base5_vector,2024-01-01T07:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T07:00:00+00:00/pattern_signature,2024-01-01T07:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T07:00:00+00:00/row3_triplet_marks,2024-01-01T07:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T08:00:00+00:00/on_off_count_per_row,2024-01-01T08:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T08:00:00+00:00/base5_vector,2024-01-01T08:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T08:00:00+00:00/pattern_signature,2024-01-01T08:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T08:00:00+00:00/row3_triplet_marks,2024-01-01T08:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T09:00:00+00:00/on_off_count_per_row,2024-01-01T09:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T09:00:00+00:00/base5_vector,2024-01-01T09:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T09:00:00+00:00/pattern_signature,2024-01-01T09:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T09:00:00+00:00/row3_triplet_marks,2024-01-01T09:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T10:00:00+00:00/on_off_count_per_row,2024-01-01T10:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T10:00:00+00:00/base5_vector,2024-01-01T10:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T10:00:00+00:00/pattern_signature,2024-01-01T10:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T10:00:00+00:00/row3_triplet_marks,2024-01-01T10:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T11:00:00+00:00/on_off_count_per_row,2024-01-01T11:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T11:00:00+00:00/base5_vector,2024-01-01T11:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T11:00:00+00:00/pattern_signature,2024-01-01T11:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T11:00:00+00:00/row3_triplet_marks,2024-01-01T11:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T12:00:00+00:00/on_off_count_per_row,2024-01-01T12:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T12:00:00+00:00/base5_vector,2024-01-01T12:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T12:00:00+00:00/pattern_signature,2024-01-01T12:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T12:00:00+00:00/row3_triplet_marks,2024-01-01T12:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T13:00:00+00:00/on_off_count_per_row,2024-01-01T13:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T13:00:00+00:00/base5_vector,2024-01-01T13:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T13:00:00+00:00/pattern_signature,2024-01-01T13:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T13:00:00+00:00/row3_triplet_marks,2024-01-01T13:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T14:00:00+00:00/on_off_count_per_row,2024-01-01T14:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T14:00:00+00:00/base5_vector,2024-01-01T14:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T14:00:00+00:00/pattern_signature,2024-01-01T14:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T14:00:00+00:00/row3_triplet_marks,2024-01-01T14:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T15:00:00+00:00/on_off_count_per_row,2024-01-01T15:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T15:00:00+00:00/base5_vector,2024-01-01T15:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T15:00:00+00:00/pattern_signature,2024-01-01T15:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T15:00:00+00:00/row3_triplet_marks,2024-01-01T15:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T16:00:00+00:00/on_off_count_per_row,2024-01-01T16:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T16:00:00+00:00/base5_vector,2024-01-01T16:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T16:00:00+00:00/pattern_signature,2024-01-01T16:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T16:00:00+00:00/row3_triplet_marks,2024-01-01T16:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T17:00:00+00:00/on_off_count_per_row,2024-01-01T17:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T17:00:00+00:00/base5_vector,2024-01-01T17:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T17:00:00+00:00/pattern_signature,2024-01-01T17:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T17:00:00+00:00/row3_triplet_marks,2024-01-01T17:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T18:00:00+00:00/on_off_count_per_row,2024-01-01T18:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T18:00:00+00:00/base5_vector,2024-01-01T18:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T18:00:00+00:00/pattern_signature,2024-01-01T18:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T18:00:00+00:00/row3_triplet_marks,2024-01-01T18:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T19:00:00+00:00/on_off_count_per_row,2024-01-01T19:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T19:00:00+00:00/base5_vector,2024-01-01T19:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T19:00:00+00:00/pattern_signature,2024-01-01T19:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T19:00:00+00:00/row3_triplet_marks,2024-01-01T19:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T20:00:00+00:00/on_off_count_per_row,2024-01-01T20:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T20:00:00+00:00/base5_vector,2024-01-01T20:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T20:00:00+00:00/pattern_signature,2024-01-01T20:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T20:00:00+00:00/row3_triplet_marks,2024-01-01T20:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T21:00:00+00:00/on_off_count_per_row,2024-01-01T21:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T21:00:00+00:00/base5_vector,2024-01-01T21:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T21:00:00+00:00/pattern_signature,2024-01-01T21:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T21:00:00+00:00/row3_triplet_marks,2024-01-01T21:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T22:00:00+00:00/on_off_count_per_row,2024-01-01T22:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T22:00:00+00:00/base5_vector,2024-01-01T22:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T22:00:00+00:00/pattern_signature,2024-01-01T22:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T22:00:00+00:00/row3_triplet_marks,2024-01-01T22:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T23:00:00+00:00/on_off_count_per_row,2024-01-01T23:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T23:00:00+00:00/base5_vector,2024-01-01T23:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T23:00:00+00:00/pattern_signature,2024-01-01T23:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T23:00:00+00:00/row3_triplet_marks,2024-01-01T23:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T12:00:00+00:00/on_off_count_per_row,2024-01-01T12:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T12:00:00+00:00/base5_vector,2024-01-01T12:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T12:00:00+00:00/pattern_signature,2024-01-01T12:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T12:00:00+00:00/row3_triplet_marks,2024-01-01T12:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T15:00:00+00:00/on_off_count_per_row,2024-01-01T15:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T15:00:00+00:00/base5_vector,2024-01-01T15:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T15:00:00+00:00/pattern_signature,2024-01-01T15:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T15:00:00+00:00/row3_triplet_marks,2024-01-01T15:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T18:00:00+00:00/on_off_count_per_row,2024-01-01T18:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T18:00:00+00:00/base5_vector,2024-01-01T18:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T18:00:00+00:00/pattern_signature,2024-01-01T18:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T18:00:00+00:00/row3_triplet_marks,2024-01-01T18:00:00+00:00,row3_triplet_marks,50,0,50,True,50
BerlinClock@2024-01-01T21:00:00+00:00/on_off_count_per_row,2024-01-01T21:00:00+00:00,on_off_count_per_row,50,0,50,True,50
BerlinClock@2024-01-01T21:00:00+00:00/base5_vector,2024-01-01T21:00:00+00:00,base5_vector,50,0,50,True,50
BerlinClock@2024-01-01T21:00:00+00:00/pattern_signature,2024-01-01T21:00:00+00:00,pattern_signature,50,0,50,True,50
BerlinClock@2024-01-01T21:00:00+00:00/row3_triplet_marks,2024-01-01T21:00:00+00:00,row3_triplet_marks,50,0,50,True,50
