global_tick,index_in_section,section,char
224,44,K3,E
225,45,K3,N
226,46,K3,J
227,47,K3,G
228,48,K3,H
229,49,K3,P
230,50,K3,D
231,51,K3,V
232,52,K3,P
233,53,K3,J
234,54,K3,T
235,55,K3,O
236,56,K3,M
237,57,K3,E
238,58,K3,H
239,59,K3,E
240,60,K3,O
241,61,K3,G
242,62,K3,U
243,63,K3,F
244,64,K3,E
245,65,K3,R
246,66,K3,M
247,67,K3,Q
248,68,K3,O
249,69,K3,H
250,70,K3,G
251,71,K3,Q
252,72,K3,T
253,73,K3,Q
254,74,K3,D
255,75,K3,V
256,76,K3,U
257,77,K3,V
258,78,K3,O
259,79,K3,F
260,80,K3,Y
261,81,K3,U
262,82,K3,E
263,83,K3,G
264,84,K3,M
265,85,K3,A
266,86,K3,I
267,87,K3,K
268,88,K3,E
269,89,K3,V
270,90,K3,N
271,91,K3,K
272,92,K3,R
273,93,K3,D
274,94,K3,Z
275,95,K3,F
276,96,K3,G
277,97,K3,L
278,98,K3,S
279,99,K3,Q
280,100,K3,M
281,101,K3,B
282,102,K3,N
283,103,K3,R
284,104,K3,T
285,105,K3,H
286,106,K3,G
287,107,K3,G
288,108,K3,L
289,109,K3,T
290,110,K3,A
291,111,K3,F
292,112,K3,S
293,113,K3,E
294,114,K3,T
295,115,K3,A
296,116,K3,N
297,117,K3,N
298,118,K3,E
299,119,K3,M
300,120,K3,D
301,121,K3,G
302,122,K3,D
303,123,K3,E
304,124,K3,I
305,125,K3,L
306,126,K3,F
307,127,K3,N
308,128,K3,E
309,129,K3,G
310,130,K3,K
311,131,K3,?
312,132,K3,Y
313,133,K3,E
314,134,K3,A
315,135,K3,E
316,136,K3,U
317,137,K3,I
318,0,K4,T
319,1,K4,A
320,2,K4,T
321,3,K4,T
322,4,K4,G
323,5,K4,Q
324,6,K4,T
325,7,K4,L
326,8,K4,E
327,9,K4,O
328,10,K4,B
329,11,K4,D
330,12,K4,S
331,13,K4,E
332,14,K4,F
333,15,K4,G
334,16,K4,P
335,17,K4,P
336,18,K4,O
337,19,K4,D
338,20,K4,R
339,21,K4,O
340,22,K4,R
341,23,K4,R
342,24,K4,D
343,25,K4,B
344,26,K4,A
345,27,K4,R
346,28,K4,A
347,29,K4,V
348,30,K4,D
349,31,K4,D
350,32,K4,M
351,33,K4,Z
352,34,K4,H
353,35,K4,S
354,36,K4,I
355,37,K4,H
356,38,K4,Z
357,39,K4,J
358,40,K4,V
359,41,K4,L
360,42,K4,C
361,43,K4,S
362,44,K4,T
363,45,K4,U
364,46,K4,N
365,47,K4,R
366,48,K4,D
367,49,K4,U
368,50,K4,N
369,51,K4,E
370,52,K4,A
371,53,K4,E
372,54,K4,T
373,55,K4,T
374,56,K4,F
375,57,K4,V
376,58,K4,U
377,59,K4,V
378,60,K4,H
379,61,K4,A
380,62,K4,N
381,63,K4,H
382,64,K4,E
383,65,K4,N
384,66,K4,L
385,67,K4,E
386,68,K4,L
387,69,K4,W
388,70,K4,E
389,71,K4,U
390,72,K4,C
391,73,K4,P
392,74,K4,E
393,75,K4,E
394,76,K4,I
395,77,K4,J
396,78,K4,T
397,79,K4,Z
398,80,K4,S
399,81,K4,M
400,82,K4,P
401,83,K4,I
402,84,K4,A
403,85,K4,Y
404,86,K4,U
405,87,K4,U
406,88,K4,K
407,89,K4,?
408,90,K4,V
409,91,K4,B
410,92,K4,N
411,93,K4,O
412,94,K4,H
413,95,K4,U
414,96,K4,U
415,97,K4,L
416,98,K4,Y
417,99,K4,B
418,100,K4,R
419,101,K4,M
420,102,K4,M
421,103,K4,S
422,104,K4,G
423,105,K4,A
424,106,K4,L
425,107,K4,R
426,108,K4,A
427,109,K4,V
428,110,K4,A
429,111,K4,F
430,112,K4,A
431,113,K4,L
432,114,K4,I
433,115,K4,E
434,116,K4,V
435,117,K4,E
436,118,K4,P
437,119,K4,G
438,120,K4,X
439,121,K4,X
440,122,K4,D
441,123,K4,F
442,124,K4,M
443,125,K4,E
444,126,K4,T
445,127,K4,R
446,128,K4,I
447,129,K4,D
448,130,K4,E
449,131,K4,V
450,132,K4,G
451,133,K4,E
452,134,K4,P
453,135,K4,X
454,136,K4,Q
455,137,K4,N
