rank,token,start,L,phase,gains,forced_slots,score,uniformity,slot_reuse,class_skew
53,MERIDIAN,77,11,5,34,8,39.77,1.00,0,0.25
54,MERIDIAN,78,11,5,34,8,39.77,1.00,0,0.25
55,MERIDIAN,8,11,6,34,8,39.77,1.00,0,0.25
56,MERIDIAN,9,11,6,34,8,39.77,1.00,0,0.25
57,MERIDIAN,10,11,6,34,8,39.77,1.00,0,0.25
58,MERIDIAN,12,11,6,34,8,39.77,1.00,0,0.25
59,MERIDIAN,74,11,6,34,8,39.77,1.00,0,0.25
60,MERIDIAN,75,11,6,34,8,39.77,1.00,0,0.25
61,MERIDIAN,76,11,6,34,8,39.77,1.00,0,0.25
62,MERIDIAN,77,11,6,34,8,39.77,1.00,0,0.25
63,MERIDIAN,78,11,6,34,8,39.77,1.00,0,0.25
64,MERIDIAN,8,11,7,34,8,39.77,1.00,0,0.25
65,MERIDIAN,9,11,7,34,8,39.77,1.00,0,0.25
66,MERIDIAN,10,11,7,34,8,39.77,1.00,0,0.25
67,MERIDIAN,12,11,7,34,8,39.77,1.00,0,0.25
68,MERIDIAN,74,11,7,34,8,39.77,1.00,0,0.25
69,MERIDIAN,75,11,7,34,8,39.77,1.00,0,0.25
70,MERIDIAN,76,11,7,34,8,39.77,1.00,0,0.25
71,MERIDIAN,77,11,7,34,8,39.77,1.00,0,0.25
72,MERIDIAN,78,11,7,34,8,39.77,1.00,0,0.25
73,MERIDIAN,8,11,8,34,8,39.77,1.00,0,0.25
74,MERIDIAN,9,11,8,34,8,39.77,1.00,0,0.25
75,MERIDIAN,10,11,8,34,8,39.77,1.00,0,0.25
76,MERIDIAN,12,11,8,34,8,39.77,1.00,0,0.25
77,MERIDIAN,74,11,8,34,8,39.77,1.00,0,0.25
78,MERIDIAN,75,11,8,34,8,39.77,1.00,0,0.25
79,MERIDIAN,76,11,8,34,8,39.77,1.00,0,0.25
80,MERIDIAN,77,11,8,34,8,39.77,1.00,0,0.25
81,MERIDIAN,78,11,8,34,8,39.77,1.00,0,0.25
82,MERIDIAN,8,11,9,34,8,39.77,1.00,0,0.25
83,MERIDIAN,9,11,9,34,8,39.77,1.00,0,0.25
84,MERIDIAN,10,11,9,34,8,39.77,1.00,0,0.25
85,MERIDIAN,12,11,9,34,8,39.77,1.00,0,0.25
86,MERIDIAN,74,11,9,34,8,39.77,1.00,0,0.25
87,MERIDIAN,75,11,9,34,8,39.77,1.00,0,0.25
88,MERIDIAN,76,11,9,34,8,39.77,1.00,0,0.25
89,MERIDIAN,77,11,9,34,8,39.77,1.00,0,0.25
90,MERIDIAN,78,11,9,34,8,39.77,1.00,0,0.25
91,MERIDIAN,8,11,10,34,8,39.77,1.00,0,0.25
92,MERIDIAN,9,11,10,34,8,39.77,1.00,0,0.25
93,MERIDIAN,10,11,10,34,8,39.77,1.00,0,0.25
94,MERIDIAN,12,11,10,34,8,39.77,1.00,0,0.25
95,MERIDIAN,74,11,10,34,8,39.77,1.00,0,0.25
96,MERIDIAN,75,11,10,34,8,39.77,1.00,0,0.25
97,MERIDIAN,76,11,10,34,8,39.77,1.00,0,0.25
98,MERIDIAN,77,11,10,34,8,39.77,1.00,0,0.25
99,MERIDIAN,78,11,10,34,8,39.77,1.00,0,0.25
100,BEARING,8,11,0,32,7,37.06,1.00,0,0.29
