label,old_pt_sha,new_pt_sha,anchor_mode,near_cov,near_fwords,verbs,delta_windowed,delta_shuffled,cadence_delta,context_delta,holm_adj_p_cov,holm_adj_p_fw,status,notes
HEAD_0083_v522B,4e2a7827b38cc320...,95c8283e0e4dacc3...,fixed,0.873,10,2,0.1021,0.1820,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0087_v522B,6c16c0560edf8085...,e5471b5ec9c4185a...,fixed,0.861,10,2,0.1008,0.1869,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0090_v522B,d972e0420c71c6bc...,508076f4cfc35ff6...,fixed,0.911,10,2,0.0898,0.2029,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0091_v522B,4e2a7827b38cc320...,95c8283e0e4dacc3...,fixed,0.859,10,2,0.0816,0.2175,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0093_v522B,9549946fcaf2f0ae...,4ff5d07676267bc7...,fixed,0.916,10,2,0.0776,0.2247,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0098_v522B,d972e0420c71c6bc...,508076f4cfc35ff6...,fixed,0.888,10,2,0.1182,0.1384,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0099_v522B,28c9035ce2505684...,bc94d916db0a6607...,fixed,0.871,10,2,0.1024,0.1601,+0.00,+0.00,0.0020,0.0060,unchanged,metrics stable
HEAD_0100_v522B,4e2a7827b38cc320...,95c8283e0e4dacc3...,fixed,0.885,10,2,0.0682,0.1912,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0102_v522B,17e4c48879092ed2...,3c3256e81b97cbf8...,fixed,0.897,10,2,0.1233,0.2217,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0103_v522B,8bb34543674c02e4...,749c49170348a383...,fixed,0.917,10,2,0.0684,0.1562,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0106_v522B,28c9035ce2505684...,bc94d916db0a6607...,fixed,0.851,10,2,0.0970,0.1496,+0.00,+0.00,0.0020,0.0080,unchanged,metrics stable
HEAD_0107_v522B,6c16c0560edf8085...,e5471b5ec9c4185a...,fixed,0.910,10,2,0.1357,0.1552,+0.00,+0.00,0.0000,0.0040,unchanged,metrics stable
HEAD_0108_v522B,4e2a7827b38cc320...,95c8283e0e4dacc3...,fixed,0.938,10,2,0.0789,0.1722,+0.00,+0.00,0.0000,0.0050,unchanged,metrics stable
HEAD_0110_v522B,4e2a7827b38cc320...,95c8283e0e4dacc3...,fixed,0.855,10,2,0.0913,0.2089,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0111_v522B,62a135cdbf0ca99a...,14533dd9ae80fe40...,fixed,0.898,10,2,0.1136,0.1957,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0114_v522B,c306c68e10fa3ca6...,5113150bdba2b33e...,fixed,0.887,10,2,0.1058,0.1813,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0117_v522B,50f9820edb23e17a...,cca62cf942478650...,fixed,0.875,10,2,0.1455,0.1801,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0118_v522B,61c656d77cffdc79...,b030329ad8d9ec0a...,fixed,0.892,10,2,0.0811,0.1640,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0119_v522B,17e4c48879092ed2...,3c3256e81b97cbf8...,fixed,0.946,10,2,0.0713,0.1845,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0123_v522B,8bb34543674c02e4...,749c49170348a383...,fixed,0.857,10,2,0.1391,0.1346,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0125_v522B,83f2d50d131f11b6...,d27d6d64aac712f9...,fixed,0.923,10,2,0.1252,0.1907,+0.00,+0.00,0.0000,0.0090,unchanged,metrics stable
HEAD_0129_v522B,c306c68e10fa3ca6...,5113150bdba2b33e...,fixed,0.911,10,2,0.1108,0.1651,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0140_v522B,6c16c0560edf8085...,e5471b5ec9c4185a...,fixed,0.935,10,2,0.1109,0.1549,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0142_v522B,c306c68e10fa3ca6...,5113150bdba2b33e...,fixed,0.909,10,2,0.1427,0.2015,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0149_v522B,68fe85e33ad04785...,bc54a62cdd09aad9...,fixed,0.918,10,2,0.0857,0.2147,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0153_v522B,17e4c48879092ed2...,3c3256e81b97cbf8...,fixed,0.898,10,2,0.0684,0.2025,+0.00,+0.00,0.0000,0.0040,unchanged,metrics stable
HEAD_0155_v522B,68fe85e33ad04785...,bc54a62cdd09aad9...,fixed,0.906,10,2,0.1143,0.1874,+0.00,+0.00,0.0000,0.0090,unchanged,metrics stable
HEAD_0180_v522B,62a135cdbf0ca99a...,14533dd9ae80fe40...,fixed,0.932,10,2,0.0755,0.2267,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0181_v522B,6c16c0560edf8085...,e5471b5ec9c4185a...,fixed,0.902,10,2,0.0781,0.1778,+0.00,+0.00,0.0000,0.0090,unchanged,metrics stable
HEAD_0183_v522B,61c656d77cffdc79...,b030329ad8d9ec0a...,fixed,0.922,10,2,0.0759,0.1846,+0.00,+0.00,0.0000,0.0090,unchanged,metrics stable
HEAD_0184_v522B,68fe85e33ad04785...,bc54a62cdd09aad9...,fixed,0.859,10,2,0.1001,0.1809,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0187_v522B,83f2d50d131f11b6...,d27d6d64aac712f9...,fixed,0.894,10,2,0.1183,0.1641,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0188_v522B,83f2d50d131f11b6...,d27d6d64aac712f9...,fixed,0.861,10,2,0.1478,0.1936,+0.00,+0.00,0.0000,0.0090,unchanged,metrics stable
HEAD_0195_v522B,62a135cdbf0ca99a...,14533dd9ae80fe40...,fixed,0.856,10,2,0.1082,0.2105,+0.00,+0.00,0.0020,0.0090,unchanged,metrics stable
HEAD_0196_v522B,4e2a7827b38cc320...,95c8283e0e4dacc3...,fixed,0.875,10,2,0.1227,0.2245,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0198_v522B,9549946fcaf2f0ae...,4ff5d07676267bc7...,fixed,0.921,10,2,0.1057,0.1881,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
